,Кодировка,Балл ЕГЭ,Код ученика
368,soc_ege_max_on_w1_040918_10kum,99.0,s227
369,mat_ege_max_w2_021018_41vpspb,68.0,s228
370,soc_ege_max_w2_011018_93kum,57.0,s229
371,rus_ege_max_w2_041018_110kum,76.0,s229
372,inf_ege_max_w1_070918_42mgnsk,73.0,s230
373,mat_ege_max_w1_060918_10mgnsk,70.0,s230
374,soc_ege_on_personal_god_250918_16m,92.0,s231
375,his_ege_max_on_w1_050918_16kum,0.0,s232
376,mat_ege_opt_w2_061218_18krnd,72.0,s233
377,rus_ege_max_w1_070918_82vpspb,61.0,s234
378,mat_ege_max_w1_050918_31vpspb,33.0,s234
379,soc_opt_w1_311018_6aim,44.0,s235
380,rus_ege_max_w2_061018_6mgnsk,76.0,s236
381,mat_ege_max_w1_080918_9mgnsk,70.0,s236
382,his_ege_max_on_w1_050918_16kum,41.0,s237
383,mat_ege_max_on_w1_030918_3kum,62.0,s237
384,mat_ege_max_w1_080918_60okm,76.0,s238
385,rus_ege_max_w2_240918_1irk,94.0,s239
386,bio_ege_max_w2_021018_irk,74.0,s239
387,rus_ege_int_w2_070219_1mgnsk,50.0,s240
388,soc_ege_max_w1_040918_30chekb,91.0,s241
389,phi_ege_max_on_w2_051018_36chekb,76.0,s242
390,soc_ege_max_w1_040918_30chekb,71.0,s243
391,his_ege_max_w1_030918_49chekb,38.0,s243
392,mat_ege_max_on_w1_030918_3kum,0.0,s244
393,phi_ege_max_w1_050918_41chekb,96.0,s245
394,mat_ege_max_w1_080918_6chekb,88.0,s245
395,rus_ege_max_w1_030918_120blm,78.0,s246
396,eng_ege_max_w1_050918_1blm,76.0,s246
397,che_ege_max_w2_011018_68chekb,44.0,s247
398,che_opt_on_w2_281118_chekb,75.0,s247
399,bio_ege_max_w1_050918_69chekb,50.0,s247
400,mat_ege_max_w1_050918_31vpspb,72.0,s248
401,rus_ege_max_w1_030918_78vpspb,85.0,s249
402,soc_ege_max_w1_050918_35chekb,71.0,s250
403,rus_ege_sint_lvl2_SRED_200319_5shpspb,85.0,s251
404,soc_ege_max_w1_030918_58vpspb,72.0,s251
405,mat_ege_max_w1_040918_30vpspb,56.0,s251
406,mat_opt_w1_021118_13vpspb,68.0,s252
407,inf_ege_max_w2_041018_49knn,75.0,s253
408,soc_ege_max_w1_090918_29knn,72.0,s253
409,rus_ege_max_w2_051018_5mgnsk,65.0,s254
410,his_ege_max_w2_031018_48mgnsk,44.0,s254
411,phi_ege_int_ctp_mini_on_150219_1web,68.0,s255
412,mat_ege_sint_lvl2_SRED_290319_7mgnsk,82.0,s255
413,lit_ege_max_w2_011018_37mgnsk,77.0,s256
414,his_ege_max_w2_011018_47mgnsk,44.0,s257
415,soc_ege_max_w2_041018_27mgnsk,60.0,s257
416,rus_ege_max_w2_061018_6mgnsk,67.0,s257
417,rus_ege_max_w1_090918_3mgnsk,71.0,s258
418,mat_ege_max_w1_050918_12mgnsk,62.0,s258
419,rus_ege_max_w1_050918_80vpspb,72.0,s259
420,his_ege_max_w1_050918_19vpspb,82.0,s259
421,mat_ege_int_ctp_mini_on_080219_2web,82.0,s260
422,mat_ege_max_w1_050918_9knn,74.0,s261
423,mat_opt_w2_281118_6chekb,82.0,s262
424,rus_ege_int_w2_080219_3knn,87.0,s263
425,mat_ege_max_w2_041018_14knn,68.0,s263
426,soc_ege_max_w2_071018_31knn,59.0,s263
427,mat_opt_w2_301118_8aim,78.0,s264
428,phi_ege_opt_w1_041118_4aim,64.0,s264
429,inf_opt_w2_011218_1aim,84.0,s264
430,soc_ege_int_ctp_mini_on_100219_2web,81.0,s265
431,mat_ege_max_w1_070918_11chekb,76.0,s266
432,soc_ege_max_w2_071018_40chekb,96.0,s266
433,inf_ege_max_w2_041018_49knn,64.0,s267
434,mat_ege_max_w2_071018_16knn,45.0,s267
435,his_ege_max_w1_050918_45mgnsk,60.0,s268
436,rus_ege_max_w1_030918_1mgnsk,70.0,s268
437,mat_ege_sint_lvl2_SRED_220319_8oktmsk,56.0,s269
438,soc_ege_int_w2_040219_13yar,81.0,s270
439,his_ege_max_on_w2_011018_17kum,67.0,s271
440,phi_ege_max_w1_030918_43chekb,66.0,s272
441,mat_ege_max_w1_050918_3chekb,72.0,s272
442,rus_ege_max_on_w2_021018_30Knn,89.0,s273
443,mat_ege_max_w1_040918_30vpspb,80.0,s274
444,rus_ege_max_w1_030918_117kum,94.0,s275
445,soc_ege_max_w1_040918_77kum,72.0,s275
446,eng_ege_max_w2_071018_12aim,89.0,s276
447,lit_ege_max_w1_040918_26vpspb,90.0,s277
448,bio_ege_max_w2_071018_2irk,68.0,s278
449,his_ege_max_w1_050918_31okm,36.0,s279
450,soc_ege_max_w1_080918_80okm,55.0,s279
451,bio_ege_on_personal_god_250918_12m,69.0,s280
452,che_ege_on_personal_god_250918_4m,66.0,s280
453,mat_ege_max_on_w2_071018_32kum,76.0,s281
454,soc_ege_max_on_w2_011018_38vpspb,81.0,s282
